study,longitude,latitude,methods,CO2,Temp,type
1,120.55,31.5,FACE,1,1,CO2 + Warming
2,108.1775,34.2911,chamber,1,1,CO2 + Warming
3,116.2333,40.21667,FACE,1,0,CO2
4,127.0167,46.21667,OTCs,1,1,CO2 + Warming
5,119.7,32.59167,FACE,1,0,CO2
6,77.2,28.61667,OTCs,1,1,CO2 + Warming
7,114.1167,32.21667,OTCs,0,1,Warming
8,77.18333,30.08333,OTCs,1,1,CO2 + Warming
9,113.6333,23.23333,chamber,1,0,CO2
10,85.93333,20.45,OTCs,1,1,CO2 + Warming
11,126.6333,47.43333,OTCs,1,1,CO2 + Warming
12,119.3333,32.1,OTCs,1,0,CO2
13,87.31667,22.31667,OTCs,1,0,CO2
14,8.67554,50.58727,OTCs,1,0,CO2
15,87.01667,22.31667,OTCs,1,0,CO2
16,127.0833,36.4,chamber,1,1,CO2 + Warming
17,106.4,29.8,chamber,1,0,CO2
18,8.666667,50.56667,OTCs,1,0,CO2
19,145.0333,-37.7,chamber,1,0,CO2
20,142.1167,-36.75,FACE,1,0,CO2
21,116.4,40.18333,OTCs,1,0,CO2
22,120.1,30.3,chamber,1,0,CO2
23,10.86667,52.45,OTCs,1,0,CO2
24,75.56667,13.96667,OTCs,1,1,CO2 + Warming
25,145.05,-37.72,chamber,1,0,CO2
26,91.35,29.68333,OTCs,0,1,Warming
28,116.35,37.6,infrared heater,0,1,Warming
29,114.6833,37.88333,infrared heater,0,1,Warming
30,142.1167,-37.7,chamber,1,0,CO2
31,-7.73333,41.28333,OTCs,0,1,Warming
32,-88.2,40.05,FACE,1,0,CO2
33,-89.6,40.71667,chamber,1,0,CO2
34,31.21238,30.01675,chamber,1,0,CO2
35,150.7,-33.9167,chamber,1,0,CO2
37,113.8667,23.33333,infrared heater,0,1,Warming
38,116.1333,40.13333,FACE,1,0,CO2
39,112.55,37.42,OTCs,1,0,CO2
40,130.5,47.58,chamber,0,1,Warming
41,118.7,32.2,infrared heater,0,1,Warming
42,118.8333,32.11667,OTCs,1,0,CO2
43,85.91667,20.41667,OTCs,1,0,CO2
44,77.41667,23.25,OTCs,1,0,CO2
45,85.08333,25.58333,OTCs,1,1,CO2 + Warming
46,-112.083,33.1,FACE,1,0,CO2
47,-85.48,32.6,OTCs,1,0,CO2
48,145.263,-37.462,chamber,1,0,CO2
49,-3.05,56.45,chamber,0,1,Warming
50,104.6167,35.58333,OTCs,0,1,Warming
51,113.3333,28.55,chamber,1,0,CO2
